geoid,name,year,total_est,total_se,aian_est,aian_se,api_est,api_se,asian_est,asian_se,black_est,black_se,hisp_est,hisp_se,nhopi_est,nhopi_se,nhwhite_est,nhwhite_se,other_est,other_se,othermore_est,othermore_se,twomore_est,twomore_se,white_est,white_se
04000US39,Ohio,2010,50686.34,200.90564,36623.664,8085.4268,,,70174,3011.5347,30544.451,470.14655,37295.883,1279.9193,67858.32,13286.424,54332.969,276.07443,34877.914,2135.4766,35356.063,1983.1683,35596.223,1493.8086,54078.918,278.12448
04000US39,Ohio,2011,49853.492,211.31911,31252.014,4848.4155,,,73250.82,3064.4583,28559.32,488.22003,40160.457,1248.7037,,,54102.305,244.44124,39143.75,1997.2638,36850.605,2355.4629,35608.703,2323.1853,53848.398,244.44124
04000US39,Ohio,2012,49995.754,190.16034,34307.02,2884.8557,,,67717.242,3444.9526,27775.299,416.0163,36749.746,1319.4401,70154.625,27107.908,54101.832,189.51132,33484.949,2677.1721,32532.541,2318.1326,32110.92,2054.1211,53830.656,186.26627
04000US39,Ohio,2013,50591.371,259.6947,37417.688,5345.4893,,,74926.914,2253.4592,29486.117,586.55188,40118.715,1296.5547,44863.133,16370.361,54222.555,193.17192,39423.203,2073.7197,37881.094,2259.0002,37177.781,1740.4663,54007.902,190.61336
04000US39,Ohio,2014,51054.242,228.48366,31975.686,3899.9583,,,72869.398,2549.8274,27694.244,457.59677,40167.887,1841.0874,,,54685.441,280.09708,36629.875,1781.9209,36874.355,1894.8478,36977.773,1219.209,54462.828,261.21411
04000US39,Ohio,2015,52821.121,146.48369,30881.871,6600.5674,,,67281.133,2069.0034,30620.221,471.51404,39831.727,2173.3652,,,57343.625,210.60959,39850.344,2965.509,38493.398,2046.2618,37858.5,1029.7866,57047.848,210.60959
04000US39,Ohio,2016,53448.898,170.73463,32335.492,3814.5222,,,72375.695,4044.8589,31696.156,430.25128,42507.676,1251.64,61659.16,21958.338,57975.316,210.46924,34745.77,2423.8108,36830.969,2165.1406,37795.379,1838.3464,57784.332,206.74413
04000US39,Ohio,2017,54021,249.84802,34942,5348.3281,71725.492,3135.0869,71820,2370.2126,32163,351.36777,40921,1268.0851,64828,19060.791,58841,337.38602,39633,2085.1064,38880.484,2295.6218,38549,1928.8754,58380,330.6991
04000US40,Oklahoma,2009,47603.352,348.66983,40140.191,1056.4279,,,56558.684,3496.4221,30914.07,1156.4448,36658.828,1150.1937,,,52121.008,477.1637,39142.742,1619.0226,37009.016,1618.5961,36316.063,1061.2898,51418.336,479.24738
04000US40,Oklahoma,2010,47293.762,278.12448,39087.723,1292.903,,,56486.773,4282.5703,33971.875,1181.5165,39279.945,1370.8052,28139.969,1291.5363,51387.789,429.14539,39513.762,2226.3625,40502.836,1849.1212,40823.355,1490.3918,50621.141,448.96262
04000US40,Oklahoma,2011,47103.047,402.10251,41777.598,1659.4181,,,55797.902,3595.0747,30345.369,1194.3835,36679.898,1290.4377,37463.402,8109.6191,50865.84,479.60828,35801.586,1790.5818,39778.164,1698.8135,41022.422,1195.7084,50315.535,465.03452
04000US40,Oklahoma,2012,47308.543,299.84326,38535.879,1166.2736,55594.629,3588.3838,55907.184,2459.7532,32034.051,1035.8221,36640.848,992.33844,49366.922,5334.8735,51306.793,446.51984,36885.332,1714.0391,40157.543,1505.6888,41177.18,1154.5913,50233.832,338.13492
04000US40,Oklahoma,2013,48075.535,341.56891,39568.406,936.4361,55215.043,4324.3442,56392.215,3212.2827,31611.584,1150.7163,41039.398,1098.2656,36803.195,3566.6448,52308.582,471.41626,39733.605,1709.1239,40581.352,1858.0112,40888.934,1773.088,51451.031,472.69553
04000US40,Oklahoma,2014,49212.238,285.76196,41430.059,893.16339,,,51369.008,2308.1257,31065.555,915.19354,39121.082,1045.4858,38814.602,7702.9839,53349.758,298.35059,38707.953,1365.2371,44274.805,1903.6621,46149.48,1739.1195,52630.145,266.24957
04000US40,Oklahoma,2015,50228.414,323.14429,41179.273,1369.9054,57264.996,6013.6191,57958.965,5366.458,32512.783,975.09094,41627.078,992.06549,39602.141,2685.7439,53647.438,253.98889,36951.516,1378.0784,42406.238,1606.2354,44364.57,1251.7125,53135.516,241.41518
04000US40,Oklahoma,2016,50223.625,388.03326,41332.156,868.57367,,,57891.57,4267.7451,31581.77,828.2182,41130.957,1002.678,,,54574.375,425.28445,40508.984,1698.6544,44316.617,1852.886,45601.203,1594.3511,53516.305,351.40292
04000US40,Oklahoma,2017,50051,349.54407,40528,1012.7659,,,58930,3674.1641,33464,1386.6261,43667,2181.7629,,,53366,457.14285,43075,2300.304,44089.516,1753.7759,44448,1431.0031,52625,406.68692
04000US41,Oregon,2009,55364.715,432.71179,38929.082,5211.2944,65335.863,3408.6833,66591.445,2136.4709,36865.633,4171.5356,40973.113,1225.9009,50519.148,7333.1797,56927.73,466.05072,40244.164,1390.512,42954.875,2866.9602,46071.188,2568.4883,56186.211,451.46494
04000US41,Oregon,2010,52338.789,370.37708,45953.816,6447.4312,,,66709.477,3424.9629,35745.73,3811.7402,41927.238,1312.7202,57719.93,6255.4092,53522.484,479.71347,39382.242,2701.2925,40794.379,2775.3105,42364.52,2904.9316,52984.031,388.82761
04000US41,Oregon,2011,51016.223,470.99652,34053.676,2249.6543,55801.594,4650.4531,57284.277,4207.1714,36788.867,3518.2314,40172.441,1054.6082,39824.82,6704.5791,52803.359,555.78912,38705.684,1731.6243,41687.023,2617.1797,44791.754,2896.198,52188.758,502.13132
04000US41,Oregon,2012,52485.449,523.7522,33308.793,3108.1155,62596.785,3474.4983,65087.68,2727.1458,28883.492,6161.0654,40071.121,1623.1775,37023.055,4177.686,54074.074,425.10248,39078.23,2513.6211,42502.027,3037.9817,45558.707,3263.8782,53524.25,445.2218
04000US41,Oregon,2013,52874.672,340.28964,35725.73,3377.3105,67703.102,3696.2729,70697.023,2625.731,32414.422,3226.9946,40940.492,1105.3016,28665.393,6420.7275,54685.527,383.78528,40913.133,2222.1167,44656.98,2673.5813,47314.785,2254.0989,53678.563,363.31674
04000US41,Oregon,2014,52883.82,308.42148,42949.012,4017.0325,66613.453,4803.5469,70147.297,4405.3921,31986.039,2770.7578,41188.809,1250.6805,27942.744,6663.792,54788.984,489.06836,38955.418,2150.1382,38866.273,2814.3372,38795.965,3396.4128,53757.711,329.82217
04000US41,Oregon,2015,55999.18,573.36102,35515.031,3100.0474,,,74178.125,3875.8452,32921.289,3065.47,45982.039,1800.5549,53891.508,10629.813,57710.762,519.92279,53418.883,2373.9158,51404.844,3303.6196,50274.953,2707.7478,56600.043,578.3905
04000US41,Oregon,2016,58757.637,530.82953,39254.824,3065.1523,72811.453,4490.4707,73821.867,3510.3042,36484.027,4017.5413,47163.797,1319.3131,55577.297,15567.273,60789.008,561.25128,51819.922,2664.7021,51534.875,2954.1787,51384.848,2237.5549,59702.344,538.90057
04000US41,Oregon,2017,60212,483.89056,45003,4989.0576,75550.852,5803.2495,77186,5125.8359,37009,3584.8025,50117,1449.848,53978,3711.2461,61717,497.87234,51741,3520.3647,52958.273,3749.1707,53651,3370.8206,60783,465.04559
04000US42,Pennsylvania,2009,56579.25,198.64456,43706.102,5694.709,,,74182.57,2988.6978,35068.395,590.3772,36949.039,1422.4618,77518.828,41107.617,59707.563,222.25964,31509.342,1621.8009,37678.414,2043.3306,47096.055,2111.4666,59346.516,231.28896
04000US42,Pennsylvania,2010,55405.375,295.89166,37816.348,5180.4956,,,67563.805,2367.8167,35146.578,513.19775,36245.961,764.67151,46215.734,20802.617,58519.172,234.38991,32984.902,1829.3347,35003.98,2041.7671,37316.117,2009.0564,58147.09,236.43997
04000US42,Pennsylvania,2011,54734.34,193.43317,30410.752,3904.4353,,,67294.422,1876.0367,33177.543,570.36285,35550.949,1175.1727,43901.457,14265.696,58085.223,260.33984,32345,2144.9883,34899.625,2071.5225,38521.52,2498.7324,57510.941,261.66473
04000US42,Pennsylvania,2012,54694.363,171.98802,34567.523,8237.9014,67170.242,3102.3416,67663.859,2481.1707,33175.34,340.08197,33468.938,610.07074,31643.301,8014.6416,58684.074,262.84961,29411.967,934.57642,33578.586,1692.8158,38987.484,2560.3499,58047.77,275.18085
04000US42,Pennsylvania,2013,54722.355,163.7484,40939.438,6813.4683,,,66840.672,2475.415,33866.473,607.02045,36059.281,946.0307,,,58914.363,253.93793,31843.072,1773.088,35467.551,2011.825,39790.422,2183.0986,58347.223,248.8208
04000US42,Pennsylvania,2014,55119.281,264.36127,32752.246,4881.2417,66243.07,2780.8237,66309.008,2413.8701,33413.875,490.32721,36478.703,912.67584,59002.086,28990.99,59577.777,316.6041,33083.578,1607.5684,35861.082,1896.5831,38757.652,1677.4352,58875.766,269.39673
04000US42,Pennsylvania,2015,57606.309,237.01439,35577.082,3785.3145,65317.723,2445.8345,65818.789,2018.0801,34631.832,602.90924,36915.32,838.66626,15922.35,4976.6733,62389.426,231.35622,33246.023,1797.4114,38336.531,2185.5313,44085.34,2842.2866,61514.5,372.81042
04000US42,Pennsylvania,2016,58119.32,223.50716,29046.895,6502.8169,,,71579.078,2963.3325,37025.316,632.64941,39086.309,1395.678,82342.602,32829.477,62533.395,213.57352,34984.754,1399.4032,40507.863,1935.2817,46567.355,2034.536,61885.891,202.39815
04000US42,Pennsylvania,2017,59195,269.3009,40759,4683.2827,,,74157,1962.3101,37535,705.77509,39973,1258.9666,,,62889,313.67783,36723,1551.9757,40019.992,2022.5925,43576,2561.7021,62007,220.06079
04000US44,Rhode Island,2009,61833.855,1057.1224,32876.977,6985.8984,,,61258.008,6126.0317,39811.137,4702.8755,36019,2732.4045,,,67394.664,1231.4574,36747.949,3810.3638,37022.191,4806.8818,37996.762,10240.613,65950.477,1236.3193
04000US44,Rhode Island,2010,58739.5,850.09058,42575.852,5944.4839,,,60533.586,6490.4824,31496.576,2289.231,35717.629,2313.8315,26272.814,3242.5078,65054.777,1480.8248,33735.813,2553.6882,35538.723,3864.6812,40146.641,4244.3022,63590.055,1113.8646
04000US44,Rhode Island,2011,58448.098,1125.4896,17707.912,9030.4141,,,55882.902,4798.7324,35156.473,6234.2451,31760.912,2018.4619,,,65147.684,1255.9907,33449.973,4907.3726,36013.445,4898.2759,43104.871,5472.436,63016.195,1220.8812
04000US44,Rhode Island,2012,58243.145,1161.0813,36527.68,12183.241,,,55654.156,12131.321,36930.172,3722.7295,32379.961,2295.5532,,,64223.973,1026.087,39359.016,3999.2083,37493.922,4525.147,32526.225,6207.145,62172,1182.4988
04000US44,Rhode Island,2013,58820.719,1216.5994,21648.195,12918.853,,,50275.711,3520.5903,33799.133,2091.6299,31256.99,2183.0986,,,65491.738,1107.2206,31091.793,3850.0061,33524.719,4560.2075,43316.383,8644.124,64393.23,839.21045
04000US44,Rhode Island,2014,56834.965,936.59418,21210.477,11630.638,,,64405.918,9289.7803,37038.863,2852.584,31887.676,1457.7635,,,63580.691,909.52863,32390.887,2182.2395,35059.313,3318.9458,41971.582,5301.0728,61593.73,1240.6096
04000US44,Rhode Island,2015,60058.367,1522.0472,27740.01,8234.5205,,,58448.137,13674.535,37974.328,3028.3774,36667.113,1484.326,,,66481.703,1400.0824,37287.629,3012.6602,42150.961,4295.061,53729.141,4561.1123,64435.047,1231.5946
04000US44,Rhode Island,2016,61886.91,987.77753,33892.98,15597.074,,,85391.188,4195.7261,43328.805,3381.1665,37662.609,1959.4127,50445.246,29964.861,66880.063,1080.2845,36030.566,5169.2236,35894.246,5026.7017,35573.023,5487.1011,64466.723,1179.0004
04000US44,Rhode Island,2017,63870,1131.307,42945,22775.684,,,70053,4603.6475,37781,4587.2339,41123,2387.842,40752,12884.498,71295,1198.1763,42752,1875.3799,40190.57,4309.4756,35000,3796.3525,68135,1498.4802
04000US45,South Carolina,2009,48492.258,392.42722,38449.211,7092.8613,,,57427.023,3051.2083,32119.465,568.15125,36864.488,1785.7174,38871.957,17366.119,56778.055,493.83316,32986.664,3478.3635,33974.637,4090.5625,35152.945,4857.0684,56271.902,485.49841
04000US45,South Carolina,2010,47233.059,289.74149,41311.223,5882.9819,,,58910.367,3458.447,31073.908,701.80304,37761.27,2593.323,28604.229,9992.6631,55264.859,453.74609,37810.73,3086.02,39463.441,3630.5088,41122.371,2783.978,54914.137,451.0127
04000US45,South Carolina,2011,46168.07,370.30527,22338.123,3529.4929,,,54752.863,5260.4546,30393.316,576.9873,36019.527,2330.4722,,,54937.027,445.16129,35402.746,2525.2302,33421.59,3463.8474,31017.725,3354.6082,54551.266,508.75574
04000US45,South Carolina,2012,46022.059,428.34753,33452.922,4380.1777,,,57321.785,4127.7124,31006.996,660.6936,41129.137,2531.7932,33602.391,13636.379,53881.902,409.52621,44049.09,6360.9604,43488.188,4821.8247,42877.906,2297.5002,53499.691,431.59256
04000US45,South Carolina,2013,46468.809,421.52417,45239.824,4893.2627,,,62375.086,4115.4575,30818.217,605.74109,37097.816,1434.7174,44483.285,7175.5059,54361.445,367.79422,32819.523,1333.0142,33194.914,2792.2122,33544.496,1523.6276,53938.457,361.39783
04000US45,South Carolina,2014,46840.102,319.12183,28758.65,2717.8857,,,53142.672,3326.5459,31407.242,407.87167,36855.598,1452.0988,33273.059,7023.1973,54210.188,373.25293,31850.4,2769.499,38235.395,4433.0176,44445.188,5835.4604,53750.461,329.82217
04000US45,South Carolina,2015,48852.945,343.8909,41505.043,6500.6064,,,60441.016,5878.208,32297.674,432.53552,40230.926,1972.8146,35925.602,9262.4219,57580.453,482.83035,34339.16,3682.8389,39668.848,3959.2063,44851.676,3600.481,56878.238,528.0957
04000US45,South Carolina,2016,50555.547,373.13278,42993.816,4414.8872,,,64588.258,6479.8447,32897.207,486.74893,41617.098,1293.2372,,,58619.762,482.40295,39403.934,2516.939,43520.016,3741.5684,47965.523,2826.124,57983.488,433.35553
04000US45,South Carolina,2017,50570,323.40427,32553,7178.1157,,,61211,4528.2676,32175,382.37082,40708,1843.769,40396,15679.636,59313,640.12158,39788,3871.1245,38764.641,3835.937,37849,3359.8784,58544,617.62915
04000US46,South Dakota,2009,51464.039,843.19751,22916.195,2635.8606,,,51488.031,9346.7129,36817.645,7856.1841,34916.438,4494.5068,,,53782.281,817.49878,36042.992,14448.961,,,33251.734,4889.7124,53680.594,818.88794
04000US46,South Dakota,2010,51601.371,830.27332,24921.627,1955.7549,,,48925.977,5956.1011,36408.957,6928.5112,50241.191,4697.3657,,,54119.387,976.51074,34638.477,9398.8301,,,22098.975,9133.6895,54065.43,1007.2617
04000US46,South Dakota,2011,52656.246,1058.5829,23783.088,1483.2085,,,61539.625,14319.354,28570.219,6493.9224,37439.43,4148.2144,,,55427.398,686.29028,37220.398,8671.3701,49172.988,12077.656,54598.125,7888.3638,55214.906,685.62781
04000US46,South Dakota,2012,51632.418,632.13715,27593.803,1752.3308,,,56144.199,6732.8442,33214.844,7638.8643,48190.402,3512.4497,41177.18,5151.2031,54021.762,628.24298,45265.113,6495.9551,40777.414,8364.6113,37065.762,5240.7671,53892.578,633.43512
04000US46,South Dakota,2013,51502.586,697.84955,26659.879,2083.3145,,,44172.883,7789.562,42175.785,9222.3604,38094.258,984.40924,89621.047,35639.582,54095.238,626.8493,48523.777,19639.572,41728.34,9316.8408,39866.184,6225.6367,53783.781,630.68713
04000US46,South Dakota,2014,52784.418,646.42621,25524.014,2034.323,,,52555.594,5463.4663,38560.926,7211.3979,44872.813,7974.2686,,,55070.617,990.72534,37999.73,13855.678,,,52115.543,6840.6626,54846.965,965.54803
04000US46,South Dakota,2015,54829.516,689.03918,29708.068,3240.873,,,50589.348,10300.382,23164.764,6299.4272,42973.59,5810.3105,55068.41,23470.709,58097.547,699.72681,31341.049,11501.17,37189.797,7337.3545,40685.969,2906.4124,57821.418,691.55389
04000US46,South Dakota,2016,55627.34,800.27979,20427.092,1833.3795,,,42026.641,13843.786,43756.73,6572.3521,47471.211,5387.1436,,,58492.098,790.34613,49243.172,5819.8784,,,35848.777,8113.3096,58285.793,697.83899
04000US46,South Dakota,2017,56521,798.78418,24385,1817.0212,,,52538,15229.18,27054,5449.2402,41443,2134.3464,35230,4193.9209,60204,844.37689,34115,12251.063,42882.559,11780.129,47741,10798.177,59851,895.44073
04000US47,Tennessee,2009,47673.047,304.91245,34150.926,5190.457,,,72397.906,5321.0352,33363.707,666.08435,36586.848,2190.6467,,,51390.914,397.28912,41447.273,4519.5112,42024.359,3860.6917,42429.867,3480.4473,51058.434,382.00876
04000US47,Tennessee,2010,46606.93,275.39108,33817.871,3338.1772,,,65126.723,3442.73,35176.93,482.44687,35970.555,1244.3849,51236.035,3676.4365,49631.922,455.79614,33351.363,2551.6384,34413.766,3284.7708,35333.18,3563.6833,49287.941,456.47949
04000US47,Tennessee,2011,45433.598,280.2131,44208.758,9777.6494,,,72679.813,5023.3003,31985.393,684.96539,34887.313,1595.8237,86247.883,29751.611,49100.5,399.45273,32581.469,3383.0933,34447.422,2982.0811,36096.898,2383.4678,48698.395,446.48615
